Country,Origin,Port Code,Duration (days),Chokepoint1,Stop1,Stop2,Chokepoint2,Stop3,Chokepoint3,Chokepoint4,Chokepoint5,Destination
Egypt,Damietta,EGDAM,10,,,,,,,,,UK
Portugal,Setubal,PTSET,2,,,,,,,,,UK
Netherlands,Rotterdam,NLRTM,1,,,,,,,,,UK
