supplier,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,migrant_workers,workers_committee_or_union,production_processes,exported_from
[blank],"Hirdaramani Clothing
(Pvt) Ltd, Mullaitivu",1,1,"Oddusudan
Road","Puthukkuduyirip
pu",[blank],Mullaitivu,Sri Lanka,Clothing,994,77%,23%,0%,Yes,"Main Production
Site",[blank]
"AFFLATUS INTERNATION
AL",Afflatus International No 16,1,1,Plot No 16,Sector-6IMT Manesar,[blank],Gurgaon,India,Clothing,287,11%,89%,0%,Yes,Main Production Site,[blank]
[blank],"Shengzhou Xingbaili Necktie & Garment Co.,
Ltd",1,1,East Area of Shengzhou,"Economy Development
Zone",[blank],Shengzhou,China,Clothing,495,38%,62%,86%,Yes,Main Production Site,Ningbo-Zhoushan
[blank],"Nipa Fashion Wear
Industry Ltd",1,1,"Selina Tower
Islambag",Hollan Road,"Dakhshin Khan,
Uttara",Dhaka,Bangladesh,Clothing,3000,60%,40%,0%,Yes,"Main Production
Site",[blank]
[blank],Cixi Chengxin Shoes,1,1,Qiaotou Town,"Industrial
Development Zone",Cixi,Ningbo,China,Clothing,89,72%,28%,90%,Yes,Main Production Site,Qingdao
[blank],Zhejiang Qingyi Socks,1,1,Anhua Industrial,Zone,[blank],Zhuji,China,Clothing,76,58%,42%,92%,Yes,"Main Production
Site",Qingdao
[blank],SC ANGAR PROD SRL,1,1,2,Garii str.,[blank],"Cehu
Silvaniei",Romania,Clothing,137,89%,11%,0%,Yes,"Main Production
Site",[blank]
[blank],UGUR KONFEKSIYON SANAYI VE TIC A.S,1,1,Muratpasa Mah. Esnaf Sok.,"No:12/1
Bayrampasa",[blank],Istanbul,Turkey,Clothing,766,46%,54%,0%,Yes,Main Production Site,[blank]
[blank],Civic Apparels ltd,1,1,Plot 3,Factory Road,"Shampur,
Kadamtoly",Dhaka,Bangladesh,Clothing,1450,60%,40%,0%,Yes,"Main Production
Site",[blank]
[blank],Bony,1,1,Org San Bolg,"Ataturk CD4 Sok
No","10-12
Cerkezkoy",Tekridag,Turkey,Clothing,1573,65%,35%,0%,Yes,"Main Production
Site",[blank]
