supplier,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,migrant_workers,workers_committee_or_union,production_processes,exported_from
[blank],Designtex Knitwear Ltd.,1,1,"Beraiderchala,Sr eepur,Gazipur","Beraiderchala,Sr eepur,Gazipur","Beraiderchala,S reepur,Gazipur",Gazipur,Bangladesh,Clothing,"2,626",40%,60%,0%,Yes,Main Production Site,[blank]
[blank],Everbright Sweaters Ltd.,1,1,"Kathgora,Zirabo,
Ashulia,Savar","Kathgora,Zirabo,
Ashulia,Savar",NA,Savar,Bangladesh,Clothing,"1,400",35%,65%,0%,Yes,"Main Production
Site",[blank]
[blank],"Wuhu Huayang Clothing
Group Co., Ltd.",1,1,East Block,"International
Clothing Park",Suncun Town,Wuhu City,China,Clothing,802,79%,21%,0%,Yes,"Main Production
Site",Guangzhou
[blank],Friends Knitting Ltd.,1,1,"1406/1,
Deshipara Road,","Ward#19, South Salna,",0,Gazipur,Bangladesh,Clothing,4303,52%,48%,0%,Yes,Main Production Site,[blank]
[blank],"Green Smart Shirts
Limited",1,1,"Tepirbari,
Sreepur,",Gazipur-1740,0,Gazipur,Bangladesh,Clothing,"1,965",75%,25%,0%,Yes,"Main Production
Site",[blank]
[blank],"Hangzhou Yutu spinning and knitting co.,ltd",1,1,"NO.318 LONGFU ROAD,","HENGCUN TOWN ,TONGLU COUNTY,",0,HANGZHOU CITY,China,Clothing,92,67%,33%,0%,Yes,Main Production Site,Guangzhou
[blank],"KINGTAI KNITTING FTY
LTD",1,1,"NO.129,Four Li
Nan Road",TangXia,0,Dongguan,China,Clothing,96,74%,26%,0%,Yes,"Main Production
Site",Guangzhou
[blank],"Mouchak Knit Composite
Ltd.",1,1,"Mouchak,
Kaliakoir,",Gazipur,0,Gazipur,Bangladesh,Clothing,1590,54%,46%,0%,Yes,"Main Production
Site",[blank]
[blank],Hasan Tanvir Fashion Wears Ltd,1,1,"397 Chandona
Chowrasta Joydebp",Gazipur,0,Gazipur,Bangladesh,Clothing,"1,850",70%,30%,0%,Yes,Main Production Site,[blank]
[blank],Mehnaz Styles & Craft Ltd.,1,1,"Industry Sl no. 56, Ward-6, Tongabari,
Ashulia, Savar",Dhaka 1341,0,Dhaka,Bangladesh,Clothing,"3,800",65%,35%,0%,Yes,Main Production Site,[blank]
[blank],"ICS Excel Manufacturing
SRL - Balti",1,1,PACII 5,BALTI,0,BALTI,Moldova,Clothing,212,91%,9%,0%,No,"Main Production
Site",[blank]
[blank],888 COMPANY LIMITED,1,1,HOP PHUONG HAMLET,QUANG HOP COMMUNE,QUANG XUONG DISTRICT,THANH HOA,Vietnam,Clothing,"1,000",70%,30%,0%,Yes,Main Production Site,[blank]
[blank],GIA LAI GARMENT JOINT STOCK COMPANY,1,1,"LY THAI TO STREET,
SECTION 12,","YEN DO WARD, PLEIKU CITY,",0,Pleiku city,Vietnam,Clothing,592,87%,13%,0%,Yes,Main Production Site,[blank]
[blank],Northern Fashion Limited,1,1,"Plot # 16-18,
Dakhin Panishail","EPZ-Kaliakoir Road,Kashimpur
,","Gazipur, Bangladesh",Gazipur,Bangladesh,Clothing,"1,401",44%,56%,0%,Yes,Main Production Site,[blank]
[blank],"Zhejiang Shengqi Clothes
Co., Ltd",1,1,"Biyu Industrial
Zone, Yaojiang","Shaoxing City,
Zhejiang Provi",N/A,Shaoxing,China,Clothing,237,66%,34%,0%,Yes,"Main Production
Site",Guangzhou
[blank],ChaoFan Clothes Ltd,1,1,"No.259.Sufu Road,Suxi Town",Yiwu City,0,Zhejiang,China,Clothing,604,55%,45%,95%,Yes,Main Production Site,Guangzhou
[blank],"JH Garment (Cambodia)
Co., Ltd",1,1,"Phum Damnak
Thom 3,",Sangkat St,0,"Khan
Meanchey,",Cambodia,Clothing,"1,093",72%,28%,0%,Yes,"Main Production
Site",[blank]
[blank],"SKYWORTH FASHION (CAMBODIA) CO., LTD.",1,1,"Building D, Veng Sreng Street",Domnak Thom 2 Sangkat Steung,Meanchey 3,Khan Meanchey,Cambodia,Clothing,709,72%,28%,3%,Yes,Main Production Site,[blank]
[blank],GLOBAL ATTIRE LTD,1,1,"Khejurtek, Mirza
Nagar","P.O. Savar
Cantonment,",UP-Pathalia,Dhaka,Bangladesh,Clothing,"2,925",39%,61%,0%,Yes,"Main Production
Site",[blank]
[blank],Essential Clothing Limited,1,1,"Akulichala Sakashor,
Maddhapar",Kaliakoir Gazipur,0,Dhaka,Bangladesh,Clothing,"1,050",40%,60%,0%,Yes,Main Production Site,[blank]
[blank],"Indochine Apparel
(Cambodia) Ltd",1,1,"Prey Chas
Village","Vihea Sour
District","Kandal,
Cambodia",Kandal,Cambodia,Clothing,1913,93%,7%,0%,Yes,"Main Production
Site",[blank]
[blank],Indochine Apparel Co Ltd,1,1,"No. 769
Changhong East Street",Wukang Town,Deqing County,Huzhou,China,Clothing,180,89%,11%,0%,Yes,Main Production Site,Guangzhou
[blank],"Wenzhou MingYue Shoes
Industry Ltd",1,1,"No.780 Yuteng
Road,","Tengqiao Town,",0,"Wenzhou
City",China,Clothing,218,49%,51%,90%,Yes,"Main Production
Site",Guangzhou
[blank],Varshini Export Branch,1,1,"SF# 80/2A-
1A,Uppilipalaya mRoad","Arulpuram (PO), Palladam (TK),",0,Tirupur,India,Clothing,443,34%,66%,20%,Yes,Main Production Site,[blank]
[blank],Mastrade,1,1,"Helal Complex
Plot72 Bypass",Mogarkhal,0,Gazipur,Bangladesh,Clothing,"2,400",60%,40%,0%,Yes,"Main Production
Site",[blank]
[blank],SC Romanita SA,1,1,"2, Vornicu
Ureche  Street,","Caracal, Olt",0,Caracal,Romania,Clothing,395,92%,8%,0%,Yes,"Main Production
Site",[blank]
[blank],"SIMPLYTEX
MANUFACTURING",1,1,"352 Gheroge
Grigore","Cantacuzino
Street",0,Ploiesti,Romania,Clothing,346,94%,6%,0%,Yes,"Main Production
Site",[blank]
[blank],YNS TESKTIL CMT,1,1,"CUMHURIYET
MH","ESKI E5 YOLU
CD.",NO:24,KIRKLARELI,Turkey,Clothing,246,82%,18%,0%,No,"Main Production
Site",[blank]
[blank],"Hangzhou Yongrun Shoes
Co. Ltd",1,1,"No. 483, Zhenpu
Road",Puyang Town,"Xiaoshan
District","Hangzhou
City",China,Clothing,205,63%,37%,68%,Yes,"Main Production
Site",Guangzhou
[blank],Red Box LK,1,1,Urubokka Road,Katuwana,0,Middeniya,Sri Lanka,Clothing,294,90%,10%,0%,Yes,"Main Production
Site",[blank]
[blank],"Jade Sun Garment
(Cambodia) Co., Ltd",1,1,"No.1, Street
104CC.,","Toul Pongro
Village,","Sangkat Chom
Chao,","Khan Por Sen
chey",Cambodia,Clothing,"1,501",78%,22%,0%,Yes,"Main Production
Site",[blank]
[blank],"TAIZHOUSHI HENGYI
SHOES CO., LTD.",1,1,"YANGHE
VILLAGE,","CHENGDONG
STREET",Wenling City,Taizhou,China,Clothing,356,47%,53%,0%,Yes,"Main Production
Site",Guangzhou
[blank],"K.C Bottom & Shirt Wear
Company",1,1,"K.C Industrial
Park, Ratuti,","Kachkura, Dhaka",0,Dhaka,Bangladesh,Clothing,"2,150",60%,40%,0%,Yes,"Main Production
Site",[blank]
[blank],Mascot Fashions Ltd,1,1,"146, Dewan Idris Road , Zirabo","Ashulia, Dhaka",0,Dhaka,Bangladesh,Clothing,782,60%,40%,0%,Yes,Main Production Site,[blank]
[blank],Mascot Garments Ltd,1,1,"146, Dewan Idris Road , Zirabo","Ashulia, Dhaka",0,Dhaka,Bangladesh,Clothing,"1,750",60%,40%,0%,Yes,Main Production Site,[blank]
[blank],Mascot Knits Ltd.,1,1,"146, Dewan Idris Road , Zirabo","Ashulia, Dhaka","Goshbag (Itakhola Bus
stand) T",Dhaka,Bangladesh,Clothing,590,60%,40%,0%,Yes,Main Production Site,[blank]
[blank],"Madinaple Fashions Craft
Limited",1,1,"Ward: 07,
Holding:E-44/1","Chandra,Kaliakoi
r,Gazipur",NA,Gazipur,Bangladesh,Clothing,2089,40%,60%,0%,Yes,"Main Production
Site",[blank]
[blank],"Fuzhou Dongshan
Deminghua Shoes Ltd",1,1,"Tianfu Village
Industrial Area",Luozhou Town,"Cangshan
District",Fuzhou,China,Clothing,85,51%,49%,0%,Yes,"Main Production
Site",Guangzhou
[blank],"Continental Garments
Ind. (Pvt.) Ltd.",1,1,"8, Dewan Idris
Road","Boro
Rangamatia",Ashulia,Savar,Bangladesh,Clothing,"1,800",75%,25%,0%,Yes,"Main Production
Site",[blank]
[blank],"TNG Fashion Branch - TNG Investment and Trading Joint Stock
Company",1,1,"No 434/1, Bac Kan Street,",Hoan,0,Thai Nguyen,Vietnam,Clothing,401,80%,20%,0%,Yes,Main Production Site,[blank]
[blank],"Anhui Siyi Gloves Co., Ltd.",1,1,"Chengdong,Dev elopment Zone,","Jing County,Xuanche
ng, Anhui",0,Jing County,China,Clothing,63,79%,21%,0%,Yes,Main Production Site,Guangzhou
[blank],Nur Yapi Tekstil San. Ve Tic. Ltd. Sti,1,1,SIRINTEPE MAH. 120 SOK.,"NUR TEKSTIL
NO:34 GUROYMAK",BITLIS,BITLIS,Turkey,Clothing,628,51%,49%,0%,No,Main Production Site,[blank]
[blank],Bafra Blue Denim Tekstil San. Ve Dis. Tic. Ltd. Sti.,1,1,Dogankaya Mah.Osb 1. Cad.,No:11/1 Bafra / Samsun,0,Samsun,Turkey,Clothing,352,58%,42%,0%,No,Main Production Site,[blank]
[blank],"Yiwu Mascots Cosplay
Culture Development Co.,Ltd",1,1,"1-5 Floor,2nd Buiilding of",Zhejiang Jiaohai Investment Co,Choujiang Street,Yiwu City,China,Clothing,50,70%,30%,0%,Yes,Main Production Site,Guangzhou
[blank],Ro-yal Corap Tekstil San.Tic.Ltd.Sti.,1,1,"KIRKLARELI OSB
8.  BULVAR NO:9",KIZILCIKDERE MEVKII,MERKEZ/ KIRKLARELI,Kirklareli,Turkey,Clothing,142,86%,14%,0%,No,Main Production Site,[blank]
[blank],Alpha Textile Free Zone,1,1,Public Free Zone Block no: 800,Amerya Alexandria,0,Alexandria,Egypt,Clothing,714,59%,41%,0%,Yes,Main Production Site,[blank]
[blank],"Ideateks Moda ve Konf. San. Dis Tic. A.S. - Avcilar
Branch",1,1,Firuzkoy Mh. Firuzkoy Bul.,No:162 Avcilar / Istanbul,0,Istanbul,Turkey,Clothing,94,53%,47%,0%,No,Main Production Site,[blank]
[blank],"Beks Corap ve Ic Giyim
San.ve Tic.A.S.",1,1,"COSB, Karaagac
Mah. Fatih Bulv",No:30 Kapakli,0,Tekirdag,Turkey,Clothing,884,40%,60%,0%,Yes,"Main Production
Site",[blank]
[blank],PINALDI TEKSTIL KONFEKSIYON SAN,1,1,BARTIN ORGANIZE SANAYI BOLGESI,MAH ATATURK CD.,NO:8,BARTIN,Turkey,Clothing,383,75%,25%,0%,No,Main Production Site,[blank]
[blank],Safran Tekstil Balikesir Branch,1,1,"GAZIOSMANPAS A OSB MAH. 8
CAD.",NO: 9 IC KAPI NO: A ALTIEYLUL,0,BALIKESIR,Turkey,Clothing,181,86%,14%,0%,No,Main Production Site,[blank]
[blank],"HaiYang Grandvision Textile Co.,Ltd",1,1,No. 19 Wenzhou Street,Haiyang Industrial Park,0,Yantai City,China,Clothing,98,71%,29%,0%,Yes,Main Production Site,Guangzhou
[blank],ASK Clothing Company,1,1,Public Free,Zone- Amerya,0,Alexandria,Egypt,Clothing,640,62%,38%,0%,No,"Main Production
Site",[blank]
[blank],Hop Yick Ltd (Plots 3-6),1,1,SFB # 3-6,Dhaka Export Processing Zone,"Ganakbari, Savar",Dhaka,Bangladesh,Clothing,"3,891",82%,18%,0%,Yes,Main Production Site,[blank]
[blank],AMMAYAPPER TEXTILES PVT LTD,1,1,"S.NO - 665/2-4 , 665/6-12","ARAKONAM
THIRUTANI MAIN ROAD","ARAKONAM TK
, VELLORE DIST",VELLORE,India,Clothing,850,79%,21%,0%,Yes,Main Production Site,[blank]
[blank],"THE RAJLAKSHMI COTTON
MILLS PVT LTD.",1,1,"S-2/1-2, EPIP,
SITE- V, ,KASNA","GREATER
NOIDA,",0,"GREATER
NOIDA",India,Clothing,900,16%,84%,11%,Yes,"Main Production
Site",[blank]
[blank],MAF Clothing Pvt Ltd. UNIT 3,1,1,"Sy No. 59/3 & 59/4,","Near KB Cross, Rajathadripura,","Tiptur Taluk, Tumkur District",Tiptur,India,Clothing,"2,227",74%,26%,0%,Yes,Main Production Site,[blank]
[blank],BMS Clothing,1,1,"1435 AVENUE
ABOU BAKR ESSEDIK","ZONE
INDUSTRIELLE HAY ERRAHMA",N/A,SALE,Morocco,Clothing,172,81%,19%,0%,Yes,Main Production Site,[blank]
[blank],Nam&Co London,1,1,"Dong Huong IZ,","Dong Huong
ward",Kim Son district,Ninh Binh,Vietnam,Clothing,700,80%,20%,0%,Yes,"Main Production
Site",[blank]
[blank],Trouser Line Ltd.,1,1,"Goshbag
(Itkhola Bus Stand),",Toyubpur,0,Ashulia,Bangladesh,Clothing,"1,400",56%,44%,0%,Yes,Main Production Site,[blank]
[blank],Ventura (Bangladesh) Ltd.,1,1,"Plot: 65-69,
Sector 02","KEPZ, North
Patenga",N/A,Chittagong,Bangladesh,Clothing,"2,835",72%,28%,0%,Yes,"Main Production
Site",[blank]
[blank],"Sunicon (Cambodia) Apparel Co.,Ltd.",1,1,"Phum Phsar Kambol,","Sangkat Kambol, Khan Dangkor","Phnom Penh,",Phnom Penh,Cambodia,Clothing,765,74%,26%,1%,Yes,Main Production Site,[blank]
[blank],Poppys Knitwear Private Ltd Unit VI,1,1,"SF NO 27 MEENAKTCHI
VALASU",MARUDAIYAM VALASU POST,KANDAIYAN KOVIL VILLAGE,TIRUPUR,India,Clothing,"2,142",49%,51%,0%,Yes,Main Production Site,[blank]
[blank],"Pujiang Cap Fashion Co.,
LTD",1,1,"#218 Xingbi
Road,",Pujiang Town,0,Jinghua City,China,Clothing,94,64%,36%,0%,Yes,"Main Production
Site",Guangzhou
[blank],"Jiangmen Jianli Garment Co., Ltd.",1,1,"Workshop No. 47, Haitanwei","Zhoujun Village, Tangxia Town",Pengjiang District,Jiangmen,China,Clothing,85,66%,34%,0%,Yes,Main Production Site,Guangzhou
[blank],Ayesha Clothing Co. Ltd.,1,1,"Bangobondhu Road, Tonga
Bari","Ashulia, Savar",Savar,Dhaka,Bangladesh,clothing,"1,171",48%,52%,0%,Yes,Main Production Site,[blank]
[blank],"LIANSHUI GUOSHENG GARMENT CO.,LTD",1,1,"2 Building, Huaian Lianshui","Economic
Develop&Innova tion",Entrepreneursh ip Zone,Huaian,China,Clothing,450,87%,13%,1%,Yes,Main Production Site,Guangzhou
[blank],Pandora Sweaters Ltd.,1,1,"Gilar Chala,
Masterbari","Sreepur, Gazipur",n/a,Gazipur,Bangladesh,Clothing,"1,850",40%,60%,0%,Yes,"Main Production
Site",[blank]
[blank],Belamy Textiles Ltd.,1,1,"Khowaz Nagar,
Azimpara,",Karnafully,N/A,Chittagong,Bangladesh,Clothing,"2,557",66%,34%,0%,Yes,"Main Production
Site",[blank]
[blank],"Signet Garments Private
Limited",1,1,"A5,A6, Sec A1,
Tronica city",0,NA,"Loni
Ghaziabad",India,Clothing,245,26%,74%,0%,Yes,"Main Production
Site",[blank]
[blank],Renaissance Barind Ltd.,1,1,"PLOT:63-68 AND 72-77(2ND
PHASE",ISHWARDI EPZ,"PAKSHEY, PABNA,
BANGLADESH.",PABNA,Bangladesh,Clothing,"3,550",80%,20%,0%,Yes,Main Production Site,[blank]
[blank],S M Knitwears LTD.,1,1,"SHIRIRCHALA,
BHABANIPUR,",GAZIPUR,NA,GAZIPUR,Bangladesh,Clothing,"7,300",45%,55%,0%,Yes,"Main Production
Site",[blank]
[blank],"JINING AISI GARMENT CO., LTD",1,1,"Middle of Shiji Road,  Wenshan","Jining, Shandong",0,Jining,China,Clothing,760,90%,10%,0%,Yes,Main Production Site,Guangzhou
[blank],PARC DESIGNS PVT. LTD.,1,1,"A-15, SECTOR-
83, NOIDA","A-15, SECTOR-
83, NOIDA",N.A,NOIDA,India,Clothing,778,25%,75%,0%,Yes,"Main Production
Site",[blank]
