sitename,latitude,longitude,address1,address2,city,country,product_type,production_processes,male_worker_percent,female_worker_percent,workers_committee_or_union,total_workers
Maxi Power Enterprise Ltd,23.96372379,118.4646433,"No.2, Tian-yang 2nd Road,Dongfang Community, Song GangShenzhen Street, China GM",[blank],[blank],China,General Merchandise,Main production Site,67%,33%,Yes,277
MG FURNITURE SDN BHD,[blank],[blank],"LOT 2780, JALAN INDUSTRIKAWASAN 2",PERINDUSTRIAN Seberang Perai Malaysia GM,[blank],Malaysia,General Merchandise,Main production Site,74%,26%,No,150
Fuzhou Zhonghe Houseware Co Ltd,24.03746229,118.6784987,"29, Fuzhou Airport Indl AreaNo.18 Pengcheng Road Fuzhou",[blank],[blank],China,General Merchandise,Main production Site,63%,38%,Yes,40
Vestel Beyaz Esya,[blank],[blank],MUSTAFA KEMAL BULVARIORGANIZE NO:10.,SAN,Manisa,Turkey,General Merchandise,Main production Site,66%,34%,No,9867
CO.LTD,24.73160502,119.1602161,Wanshi Industrial Zone Songgang Town,[blank],Foshan,China,General Merchandise,Main production Site,55%,45%,Yes,42
BUIANI Srl,[blank],[blank],VIA COMUNALE DEL ROVERE33048 2,SAN GIOVANNI,Udine,Italy,General Merchandise,Main production Site,42%,58%,No,12
Foshan Sanshui Hualang Metal Prod Ltd,24.28436139,118.5870513,"No.112, South Area, NationalProject Torch Foshan Electron IndustrialFoshan China GM Main production Site",[blank],[blank],China,General Merchandise,Main production Site,48%,52%,Yes,294
Zhejiang Ruopei Arts & Crafts Co Ltd,24.24405266,118.3989207,Maotang Village,Majian Town,Lanxi City,China,General Merchandise,Main production Site,38%,62%,Yes,21
Jiangsu Junyi Intell San Elec Tech Ltd,24.27469368,118.021848,"NO.100, PAINTING POETRYDAITOU ROAD TOWN",LIYANG,China,China,General Merchandise,Main production Site,32%,68%,Yes,28
LTD,25.44690545,118.0762326,"No.3, Fudong 2nd Street Dongmen Village",Dongguan,China,China,General Merchandise,Main production Site,53%,47%,Yes,708
"Quzhou Tianye Camping Co.,Ltd",24.1596839,117.9119018,NO.895,Shiji Road,Quzhou,China,General Merchandise,Main production Site,17%,83%,Yes,333
Taparo,[blank],[blank],"Sat Borcut,","Nr198, DJ182, KM40",Jud,Romania,General Merchandise,Main production Site,43%,57%,Yes,1063
Milenyum Metal Dis Tic. ve San. A.S.,[blank],[blank],SERBEST BOLGE 8.,CADDE NO 9,KAYSERI,Turkey,General Merchandise,Main production Site,88%,12%,Yes,228
RAM QUALITY PRODUCTS LTD.,[blank],[blank],5 Yahalom St,Barkan Industrial Area,0 Israel,Israel,General Merchandise,Main production Site,92%,8%,No,65
ITALROM LEATHER S.R.L.,[blank],[blank],"STR. MATEI CORVIN, NR 202FVETEL",Hunedoara,Romania,Romania,General Merchandise,Main production Site,52%,48%,Yes,274
Elda Hali Tekstil,[blank],[blank],OSBB. 8.,"Cadde No: 55,",Kayseri,Turkey,General Merchandise,Main production Site,87%,13%,Yes,362
Bica SpA,[blank],[blank],Bica SpA,Via Dell’Artigianato 2,Padua,Italy,General Merchandise,Main production Site,93%,7%,No,56
Elliottis do Brasil Ind Moveleira Ltda,[blank],[blank],RUA GERMANO,GIROTTO 850,Antonio Prado,Brazil,General Merchandise,Main production Site,39%,61%,Yes,77
Moveis Katzer Ltda,[blank],[blank],RUA ESTEVAO BUSCHLE,262 BAIRRO,SAO BENTO DO SULBrazil,Brazil,General Merchandise,Main production Site,58%,42%,Yes,193
Temasa Ind de Moveis Ltda,[blank],[blank],Avenida Engenheiro,lourenco Faoro,Cacador,Brazil,General Merchandise,Main production Site,54%,46%,Yes,492
Ninghai Weiye Handicraft Products Co.Ltd DAMU VILLAGE,24.14671955,118.3971587,Huangtan Town,Ninghai,China,China,General Merchandise,Main production Site,63%,37%,Yes,19
"ZHEJIANG TAIXING CHILD'S TOYS CO.,LTD",25.22415392,117.9952591,Shangjiaoyang industrial ZoneLauyang Town,Wenzhou,China,China,General Merchandise,Main production Site,62%,38%,Yes,98
Yinghui Electronics Factory,24.51293419,118.9334337,Chijiaoluduan,Zhenzhong Road,Dongguan,China,General Merchandise,Main production Site,55%,45%,Yes,164
Hangzhou Xuanbo Fitness Equip Co. Ltd,24.3817482,118.6105343,"NO. 8, NO. 5 ROAD",DONGZHOU INDUSTRIAL ZONEFUYANG,China,China,General Merchandise,Main production Site,61%,39%,Yes,90
CO,25.31622579,118.1931978,NO. 19 LINGANG ROAD,Beijiao,Foshan,China,General Merchandise,Main production Site,51%,49%,Yes,1698
QooCo Industries Company Limited,25.55804625,118.7536622,"No.219 Jinhu West Road,West of 84 Avenue,",Huai'an,China,China,General Merchandise,Main production Site,37%,63%,Yes,307
Zhongshan Xinda Outdoor Product,24.72804477,118.7609606,"No. 23, Shalan East Road Sanjiao Town",Zhongshan,China,China,General Merchandise,Main production Site,48%,53%,Yes,40
Changzhou Tcostar Tools Co Ltd,24.63042652,119.2186208,NO.219 HUAXING ROAD,JINTAN DISTRICT,Changzhou,China,General Merchandise,Main production Site,40%,60%,Yes,70
Ningbo Fusle Mech Manufacturing Co.Ltd,24.91886923,118.5500565,LIYIE,Hengxi Town,Ningbo,China,General Merchandise,Main production Site,54%,46%,Yes,85
Nantong We Win Furniture Co Ltd,25.56902036,118.5651309,"No 288, Group 3",Huzhuang Village Qutang TownNantong,China,China,General Merchandise,Main production Site,48%,52%,Yes,241
"Freestyle Outdoor Living Co.,Ltd",25.3822005,118.7689605,XIUFENG GAOQIAO TOWNYinzhou Area,NINGBO,China,China,General Merchandise,Main production Site,72%,28%,Yes,162
"Ningbo Faith Tourist Article Co.,Ltd",25.35639131,118.2781107,XIAODONG INDUSTRY AREALANJIANG STREET,[blank],Yuyao,China,General Merchandise,Main production Site,50%,50%,Yes,42
Nursery Connections Limited,[blank],[blank],"Units 8 , Cronin CourtyardWeldon South Ind Estate CORBY",[blank],[blank],United Kingdom,General Merchandise,Main production Site,55%,45%,No,38
Qingdao Finsense Furniture,24.57487498,118.1350479,No. 152 Hong Tai Road Chengjia Village,[blank],Qingdao,China,General Merchandise,Main production Site,45%,55%,Yes,31
"Qingdao Vimoon Household Co.,Ltd",24.73308825,118.1484013,Manufacturing Industrial JiaobeiPark,Street,Qingdao,China,General Merchandise,Main production Site,51%,49%,Yes,97
"Hangzhou Kejie Home Textile Co.,Ltd",24.50554644,118.284799,No.20 Shanzhuangqiao IndRenhe Area Town,[blank],Hangzhou,China,General Merchandise,Main production Site,34%,66%,Yes,74
Wujiang Tianwu Security Mach Co. Ltd,25.52772825,118.5849402,1155 Hubei Road,Shenta town,Suzhou,China,General Merchandise,Main production Site,66%,34%,Yes,82
Zhongshan Sewco Toys And Novelty Ltd,25.21793627,119.0974253,No 31 SHAGANG MAIN ROADGangkhou,[blank],Zhongshan,China,General Merchandise,Main production Site,14%,86%,Yes,709
Zhejiang Qiangsheng Furniture Co Ltd,25.19469134,118.9052218,Tangpu Industrial Zone Anji Country,[blank],Huzhou,China,General Merchandise,Main production Site,53%,47%,Yes,288
Tongxiang CBF Furniture Co,24.30576335,118.2985256,Tower 1 No 1500 GuangmingTongxiang Rd,Economic Dev ZoneTongxiang China,[blank],China,General Merchandise,Main production Site,52%,48%,Yes,54
Fitt Spa,[blank],[blank],Via Paive,8 – 36066,Sandrigo (Vi),Italy,General Merchandise,Main production Site,62%,38%,Yes,439
CH BABY COMPANY LIMITED,24.64109567,118.7938524,CH BABY INDUSTRIAL PARKXietang Town,[blank],Shangyu,China,General Merchandise,Main production Site,50%,50%,Yes,313
Cheng Wei Furniture Co Ltd,[blank],[blank],"NO 9 LANE 180,",P-Tou Hsiang,P-Tou Hsiang,Taiwan,General Merchandise,Main production Site,43%,57%,No,100
Zhejiang Hengfeng Top Leisure Co Ltd,25.18201104,117.8943832,NO 860.BEIHU STREET,WUKANG TOWN,Huzhou,China,General Merchandise,Main production Site,54%,46%,Yes,311
Zhongshan Fumao Woodenware Co Ltd,24.61997578,119.4996117,NANLANG INDUSTRIAL DISTRICTNanlangTown,[blank],Zhongshan,China,General Merchandise,Main production Site,53%,47%,Yes,51
"Guangdong Kerong Elec Appli Co.,Ltd",25.1350967,117.972212,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
"I JANG INDUSTRIAL CO., LTD.",[blank],[blank],"No. 4, Hsing Kung Rd",Lun Chiao Village,Changhua,Taiwan,General Merchandise,Main production Site,60%,40%,No,259
"Zhejiang Great Star Industrial Co., Ltd NO1 BUILDING NO. 11 QIHUIChangan RD",24.31084336,117.9818008,[blank],Town,Haining,China,General Merchandise,Main production Site,50%,50%,Yes,754
CO.LTD,24.42034582,119.0739148,"No.5, Xinguangsi Road Qianfeng Zhujiang",[blank],Guangzhou,China,General Merchandise,Main production Site,74%,26%,Yes,980
"Hefei Hualing Co., Ltd.",25.55848242,118.6158125,176 JINXIU ROAD,HEFEI ECO & TECH DEV ZONE Hefei,[blank],China,General Merchandise,Main production Site,46%,54%,Yes,2220
"Linhai Nianfeng Houseware Co., Ltd.",25.57722174,118.2001325,DITIANLIU DATIAN SUB-DISTRICTLinhai,[blank],Linhai,China,General Merchandise,Main production Site,67%,33%,Yes,12
Hoang Hung Co Ltd,[blank],[blank],PHU TAI INDUSTRIAL PARKTRAN QUAN DIEU WARD,[blank],Qui Nhon,Vietnam,General Merchandise,Main production Site,40%,60%,Yes,210
"Global Furniture (Zhejiang) Co., Ltd",25.40558843,118.5772082,"Sunny Functional Industrial Zone,",[blank],Anji County,China,General Merchandise,Main production Site,61%,39%,Yes,975
Synergy Wood Products Sdn Bhd,[blank],[blank],"PTD 4959,",KAWASAN PERINDUSTRIAN,Muar,Malaysia,General Merchandise,Main production Site,84%,16%,No,130
"Zhuhai Golex Co., Ltd",24.9629495,119.2413385,NO. 12 PING BEI 1ST ROADNan Ping Industrial Estate Zhuhai,[blank],[blank],China,General Merchandise,Main production Site,41%,59%,Yes,54
"Fujian Oulaide Furniture Co., Ltd",24.78021547,118.7187443,HIGH TECHNOLOGY INDUSTRYNANJING PART COUNTY,[blank],Zhangzhou,China,General Merchandise,Main production Site,57%,43%,Yes,58
"House And Home Co.,Ltd",24.62443766,118.9067637,"NO. 15, WEST FUMING ROADXike Town",[blank],Xiamen,China,General Merchandise,Main production Site,54%,46%,Yes,272
"CO.,LTD",25.51282455,118.0084595,No.5 Nanpu RD,Beidou Industrial Garden,Zhangzhou,China,General Merchandise,Main production Site,51%,49%,Yes,98
China Artisans Limited,24.28404571,118.669483,Fucao Village,Yong'an Town,ZhaoQing,China,General Merchandise,Main production Site,55%,45%,Yes,77
LTD,25.2298582,118.6682084,CHENG DONG DEVELOP AREAHuang Gang Town,[blank],Chou Zhou,China,General Merchandise,Main production Site,41%,59%,Yes,34
"Suzhou lucky Intelligent technology Co., Ltd No.3-4 Building",24.55196753,119.4915153,No.78 Yangjia Road,[blank],KUNSHAN,China,General Merchandise,Main production Site,42%,58%,Yes,118
Malzine Co Ltd,[blank],[blank],79-6 CHAO-AN LANE,Chao-an Li,Lukang Town,Taiwan,General Merchandise,Main production Site,50%,50%,No,60
Xiamen Golden Delta Special Weaving Co,25.24304649,118.1165171,[blank],"No. 377, ShanBian Road Dongfu Town",Xiamen,China,General Merchandise,Main production Site,65%,35%,Yes,315
"Ningbo Abby Pet Products Co., Ltd",24.23048947,117.7797096,[blank],NO.8 JIN AN ROAD,Ningbo,China,General Merchandise,Main production Site,31%,69%,Yes,52
Zhejiang Lvlin Technics Co Ltd,24.7939452,117.5924433,[blank],"No88, Jintang Rd",Jinhua,China,General Merchandise,Main production Site,48%,52%,Yes,182
"Shaoxing Yongfeng Stationery Co., Ltd.",25.32971421,118.5821273,[blank],SHUANGYANG VILLAGE,Shaoxing,China,General Merchandise,Main production Site,22%,78%,Yes,98
M/S SPORTING SYNDICATE PVT. LTD,[blank],[blank],[blank],KAPURTHALA MAIN HIGHWAYVill Waryana ROAD,Chandigarh RegionIndia,India,General Merchandise,Main production Site,56%,44%,Yes,415
"Linhai Aote Leisure Products Co., Ltd",24.65656721,118.7380458,[blank],"No. 258, Datian Road",Linhai,China,General Merchandise,Main production Site,57%,43%,Yes,607
"Shandong Yongxu Odoor Leis Furn Co,Ltd",24.20739436,118.68999,[blank],South of Tangzi Village Quanpu Economic Park,Jining,China,General Merchandise,Main production Site,29%,71%,Yes,311
"Phu Khang Phat Co.,Ltd",[blank],[blank],[blank],TAN CANG HAMLET,BIEN HOA,Vietnam,General Merchandise,Main production Site,50%,50%,Yes,173
"YOTRIO GROUP CO., LTD",25.15109347,118.0543808,[blank],No.1,Linhai,China,General Merchandise,Main production Site,54%,46%,Yes,1764
"Fujian Dehua You-Young Crafts Co.,Ltd",25.51413533,118.6029118,[blank],CHENGDONG INDUSTRY AREAXUNZHONG TOWN,Quanzhou,China,General Merchandise,Main production Site,45%,55%,Yes,94
"Shenzhen Vigorhood Electronics Co., Ltd No.2 Longshan 8th Road Luotian Community, Yanlou St Shenzhen",25.08233553,118.5995637,[blank],[blank],[blank],China,General Merchandise,Main production Site,52%,48%,Yes,330
"CO.,LTD",24.0447287,118.270892,[blank],24 Jinyu Village,Nantong,China,General Merchandise,Main production Site,14%,86%,Yes,36
Zhejiang DeShuo Electric Appliance Co,23.99884018,118.45872,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",[blank],China,General Merchandise,Main production Site,26.00%,74.00%,Yes,831
Changzhou Wujing Great Wall Tools Co Ltd No. 12 Fengming Road Hi-Tech Development Zone,24.16426624,118.1625685,[blank],[blank],Changzhou,China,General Merchandise,Main production Site,50%,50%,Yes,94
Rica Design Pte Ltd,24.74252189,118.1479208,[blank],XINZHOU THORP,Dongguan,China,General Merchandise,Main production Site,59%,41%,Yes,299
Shanghai Dongwei Elec Appliance Co Ltd,25.45717909,118.889952,[blank],"NO.1, LANE 202 MAOSHENGSongjiang ROAD",Shanghai,China,General Merchandise,Main production Site,18%,82%,Yes,51
Wuyi County Yatai Elec Appliance Co.Ltd NO.18 ZHENXING WEST STREETJIANGBIN INDUSTRIAL ZONE Wuyi County China,24.99820907,118.6723786,[blank],[blank],[blank],China,General Merchandise,Main production Site,60%,40%,Yes,70
Positec Machinery Zhangjiagang,24.50226869,118.488472,Co.Ltd,NO.9 HAIXIN ROAD,Suzhou,China,General Merchandise,Main production Site,43%,57%,Yes,803
"Yancheng Yihua Electromechanical Co, Ltd NO.7,",23.95322843,118.9162599,[blank],[blank],Yancheng,China,General Merchandise,Main production Site,40%,60%,Yes,30
"Positec Technology (China) Co., Ltd",24.25048625,118.8144844,[blank],NO. 18 DONGWANG ROADSUZHOU INDUSTRIAL PARK,Suzhou,China,General Merchandise,Main production Site,58%,42%,Yes,906
"ZhengYang Technology Co., Ltd.",25.17512734,117.7259583,[blank],"No.558, Greatwall East RoadEconomic Development Zone Jinhua",[blank],China,General Merchandise,Main production Site,55%,45%,Yes,465
"Zhejiang Swirl Wind Tools Made Co.,Ltd. No 2 Hengu Road",24.86296798,118.9046394,[blank],[blank],Yong Kang,China,General Merchandise,Main production Site,57%,43%,Yes,180
"Lida Electromechanic Co.,Ltd",24.18665048,119.0228079,[blank],No 685 Development ZoneEconomic Road,[blank],China,General Merchandise,Main production Site,55%,45%,Yes,473
"Zhejiang Minglei Tool Industrial Co.Ltd. NO. 188, YINDONG NORTHBINHAI ROAD INVESTMENT & Ningbo",24.60988324,117.8906293,[blank],[blank],[blank],China,General Merchandise,Main production Site,45%,55%,Yes,477
Triple Power Sports Products Inc,24.65876086,118.9300728,[blank],Shung Miao Industrial EstateHuai Te Village,Dongguan,China,General Merchandise,Main production Site,46%,54%,Yes,610
Changzhou Wujin Dacheng Ind & Trd Co.Ltd NO. 1 NORTH OF XIZHEN NiutangROAD,24.92597349,118.6694954,[blank],[blank],Changzhou,China,General Merchandise,Main production Site,18%,82%,Yes,67
Ningbo Xiecheng Power Tools Co Ltd,24.94228567,118.9487936,[blank],CHUNHU TOWN,Ningbo,China,General Merchandise,Main production Site,55%,45%,Yes,233
Jinhua Leeyoung Hardware Man,25.64249641,118.6132637,[blank],No 1299 Dayan Road,Jinhua,China,General Merchandise,Main production Site,47%,53%,Yes,98
Junan Willow Handcrafts Factory,24.80515278,117.7200518,[blank],MEISHAN ROAD,Linyi,China,General Merchandise,Main production Site,22%,78%,Yes,60
Shanghai Rongding Tools Ltd.,24.80346425,118.9975899,[blank],"BUILDING 6&7,",Shanhai,China,General Merchandise,Main production Site,29%,71%,Yes,17
"Jiashan Chengyuan Funiture Co.,Ltd",25.01136357,119.1507191,[blank],NO.5 KAPA ROAD,Jiaxing,China,General Merchandise,Main production Site,58%,42%,Yes,343
Jiangsu Hehui Power Tool Co Ltd,24.47076309,118.7058953,"No.909, Lingfeng Road Huashi Economic Dev Zone",[blank],Nantong,China,General Merchandise,Main production Site,19%,81%,Yes,198
"FINE OCEAN HARDWARE(HU ZHOU) CO.,LTD",24.1801972,118.4959721,JIHUA ROAD,OVERSEAS INVESTABLE ZONE,Huzhou,China,General Merchandise,Main production Site,52%,48%,Yes,90
"SHIN HERNG YANG CO., LTD",[blank],[blank],"220,","Xizhou Rd., Shengang",Shenkeng DistrictTaiwan,Taiwan,General Merchandise,Main production Site,44%,56%,No,18
"Tien Hung Co.,Ltd",[blank],[blank],BINH CHUAN,31 STREET,Binh Chuan WardVietnam,Vietnam,General Merchandise,Main production Site,53%,47%,Yes,769
Guangtai (Furniture) Dongguan Co. Ltd.,25.25572064,118.4574272,"Room 101, Building 1, No.116,Chonghe Tiesong Village Road, Qingxi Town,Dongguan China GM Main production Site 55%",[blank],[blank],China,General Merchandise,Main production Site,55%,45%,Yes,141
Xiamen Fucheng Sports Goods Co Ltd,24.53396486,118.7996507,Heshan Village,Xinmin Town,Xiamen,China,General Merchandise,Main production Site,51%,49%,Yes,99
"Xiamen K-Power Sports Co., Ltd",24.89138049,118.3937204,"NO. 53, TONGMING ROADTong'an District",[blank],Xiamen,China,General Merchandise,Main production Site,74%,26%,Yes,792
INTERMEBLE SP. Z.O.O. SP.K,[blank],[blank],"Intermeble SpZoo SP.k. 18,Sompolinek",[blank],Sompolno 62-610Poland,Poland,General Merchandise,Main production Site,55%,45%,Yes,660
Henglin Home Furnishings Co Ltd,24.49058425,118.0712949,SUNSHINE INDUSTRY ZONEUnit 3,[blank],Anji,China,General Merchandise,Main production Site,55%,45%,Yes,1973
LTD.,25.65563437,118.4657706,"No. 2, Baosheng Road",Baijiao Industrial Park,Zhangzhou,China,General Merchandise,Main production Site,53%,47%,Yes,427
"Jiangxi Ruijing Home Decoration Co., Ltd SHUIDONG ROAD",24.58629284,118.4503309,[blank],XINFENG INDUSTRIAL ZONE,Ganzhou,China,General Merchandise,Main production Site,67%,33%,Yes,90
"Crisal - Cristalaria Automática, SA",[blank],[blank],Zona Industrial Casal da LebreLote 1 - 2431-903 Marinha Grande Portugal,[blank],[blank],Portugal,General Merchandise,Main production Site,62%,38%,Yes,484
"Zhejiang Haoguo Furniture Co., Ltd",24.46867661,119.1991858,"Anji Economic Dev Zone, Tangpu,",[blank],Anji,China,General Merchandise,Main production Site,64%,36%,Yes,389
"Wuxi Little Swan Electric Co., Ltd",25.10665298,117.6697334,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
Jiangsu Zhongheng Pet Articles Ltd,24.83106382,117.8703507,NO.1388 CENTURY AVENUEYAN DU DISTRICT,[blank],Yancheng,China,General Merchandise,Main production Site,39%,61%,Yes,1012
Eagle Vallage Int Co Ltd,[blank],[blank],"NO. 302-3, SEC. 2",HUANZHONG RD.,Taichung,Taiwan,General Merchandise,Main production Site,17%,83%,No,6
Jiangmen Jinhuan Electrical Co Ltd,24.70913016,118.7109565,"#1#2#3#5, No. 11, DongxingHecheng Road Town, Heshan Jiangmen City China",[blank],[blank],China,General Merchandise,Main production Site,44%,56%,Yes,195
Jiangxi Dengshi Garden Group Corp.,25.04888545,119.005613,PART A INDUSTRIAL,Jingan County,Yichun,China,General Merchandise,Main production Site,36%,64%,Yes,45
Pt Royce Enterprise Co Ltd,[blank],[blank],JI HANG KESTURI LOT B NO37-38 KAWASAN TAIWAN IND PARKBatam,[blank],[blank],Indonesia,General Merchandise,Main production Site,60%,40%,Yes,439
Dongguan Tung Fat Toy Fty.Co. Ltd,24.9576103,118.8998738,"Room 101, Building 1, No.1436Changan section",[blank],Dongguan,China,General Merchandise,Main production Site,41%,59%,Yes,360
Aydin Tekstil tic.ve.paz.as,[blank],[blank],Ikitelli OSB Turgut oZAL NoBasaksehir 3,[blank],Istanbul,Turkey,General Merchandise,Main production Site,73%,27%,Yes,874
"Pj Chonburi Parawood Co., Ltd.",[blank],[blank],"928/1, MU 1 T.",KLONGKEW A,Banbung,Thailand,General Merchandise,Main production Site,66%,34%,Yes,708
Buoyant Upholstery,[blank],[blank],Oak Bank Mill,Hallam Road,Nelson,United Kingdom,General Merchandise,Main production Site,76%,24%,Yes,626
Highgrove Beds Ltd,[blank],[blank],"Headlands Road,",Liversedge,Liversedge,United Kingdom,General Merchandise,Main production Site,92%,8%,No,239
"Dongguan Hongkun Household Co., LTD",24.21276441,118.9585028,No.13. Luyi 2nd Road. Keyuancheng.Tangxia Town. Dong guan,[blank],[blank],China,General Merchandise,Main production Site,54%,46%,Yes,41
CO. LTD,24.92645059,118.7180412,"LUGUANG BRIDGE, HENGXIHENGXI VILLAGE TOWN, YINZHOU DISTRICTNINGBO CITY China GM",[blank],[blank],China,General Merchandise,Main production Site,23%,77%,Yes,93
"Elega Garden Solution(Ningbo)CO.,LTD",25.0034668,117.6040512,"No. 46, Binhai Ave.,",Sino-Italy Ningbo Ecological Ningbo,[blank],China,General Merchandise,Main production Site,60%,40%,Yes,345
"HUNAN FUNGDELI CERAMICS CO., LTD",24.90071697,117.8495061,"CHABUTANG VILLAGE,SIFENLILING TOWN, CITY, HUNAN PROVINCELILING CITY China GM",[blank],[blank],China,General Merchandise,Main production Site,35%,65%,Yes,489
BSH Ventures PVT ltd,[blank],[blank],"4B-1,Block “B”",Bepz - Biyagama,Gamapha,Sri Lanka,General Merchandise,Main production Site,52%,48%,Yes,174
Ltd.,24.71710804,118.9846177,No. D4-2 Area,North of Railway Station,Chaozhou,China,General Merchandise,Main production Site,61%,39%,Yes,236
Huei Tyng Enterprise Co Ltd-Zhangbin,[blank],[blank],"No. 18, Zhangbin W. 2nd XianxiRd.,","Township,",Changhua CountyTaiwan,Taiwan,General Merchandise,Main production Site,72%,28%,No,86
GEMELLI SALOTTI,[blank],[blank],VIA VIRGILIO 7,[blank],VILLANOVA (FORLI')Italy,Italy,General Merchandise,Main production Site,60%,40%,Yes,15
Krosnienskie Huty Szkla Krosno S.A.,[blank],[blank],ul 13 Tysiaclecia Str.,[blank],Krosno,Poland,General Merchandise,Main production Site,53%,47%,Yes,1610
Morgan Furniture LLC,[blank],[blank],12 Industrialna St,[blank],Rivne oblast,Ukraine,General Merchandise,Main production Site,54%,46%,Yes,1087
WOODMAN OU,[blank],[blank],MAO PAIDE VALD JARVAMAA,[blank],Mao,Estonia,General Merchandise,Main production Site,65%,35%,No,51
"K-tronics(Su Zhou) Technology Co.,LTD",24.90047825,117.7091148,"No.1088 Dajing Road, EconomicWujiang",[blank],"District,Suzhou City, suzhou China GM",China,General Merchandise,Main production Site,60%,40%,Yes,1876
LTD,24.51689233,119.391262,"Building 2, No. 111,","Jingu South Road,",Ningbo,China,General Merchandise,Main production Site,34%,66%,Yes,35
Festa Party Products Mfy. (Zhaoqing) Ltd. East from 16 Tangmei Ind.Duanzhouba Zone,24.82837544,118.7480472,[blank],[blank],Rd Zone 6 Zhaoqing China,China,General Merchandise,Main production Site,28%,72%,Yes,50
"HCK Refrigeration Tech. Co., Ltd",24.6589834,118.9206841,"1 Ying An Three Road,JunShunde,Foshan,Guangdong,P.R. An, Shunde, C",[blank],[blank],China,General Merchandise,Main production Site,66%,34%,Yes,415
LIMITED,24.81609822,119.3294875,"Area B,","Zhaoan Industrial District, Zhangzhou City China",[blank],China,General Merchandise,Main production Site,59%,41%,Yes,68
Wendre Poland Sp. z o.o.,[blank],[blank],Al. Milenijna 2,[blank],Kostrzyn nad OdraPoland,Poland,General Merchandise,Main production Site,38%,62%,Yes,186
Da Hui Lighting Co Ltd,25.35752296,118.5030347,"No.29, No 48,","Pingnan Industrial area,",Huizhou,China,General Merchandise,Main production Site,24%,76%,Yes,25
"Xiamen Bincheng Wood Co., Ltd",25.34321782,118.6020648,"No.8, Lianmei 3rd Road, Lianhua Industrial District Xiamen",[blank],[blank],China,General Merchandise,Main production Site,56%,44%,Yes,89
Guangxi Beiliu Qinglang Porcelain Co. Ltd. Ya Lang Industrial Area Beiliu City,24.10037852,118.5482125,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
"HUIZHOU CHUANG MEI FENG TECH CO., LTD",24.51761791,118.9243514,"33 Puxin Road, Lilin Town,Zhongkai High-tech Zone Huizhou",[blank],[blank],China,General Merchandise,Main production Site,24%,76%,Yes,37
"Shandong Hongda Glassware CO.,Ltd.",24.00075098,118.3425508,"Sujiagou Village, Badou Town,Zibo City, Shandong Province ZZibo China",[blank],[blank],China,General Merchandise,Main production Site,48%,52%,Yes,547
"NINGBO HOMELINK ECO-ITECH CO., LTD.",25.09502349,119.0949621,"Xingpu Road 296, Xiepu TownZhenhai District,",[blank],Ningbo,China,General Merchandise,Main production Site,50%,50%,Yes,947
"YVONETEX CO.,LTD",24.20473359,118.0446994,"NO.C building, Huaxia XiongxiIndustrial Park, Lianguang Vil Huizhou China GM",[blank],[blank],China,General Merchandise,Main production Site,29%,71%,No,65
"& TECH CO., LTD.",25.12396293,117.6668561,"Room 501, building 3, jinyescience and technology park Dongguan China",[blank],[blank],China,General Merchandise,Main production Site,59%,41%,Yes,85
"Foshan Nanhai Siweiya Glass Co.,Ltd",24.57548481,117.8971581,"Meizhen viaduct side LonggaoRoad,Jiujiang Nanhai foshan",[blank],[blank],China,General Merchandise,Main production Site,64%,36%,Yes,53
DongGuan ShiChang Metals Factory Ltd.,24.46240888,118.6761225,XiaoBian Village,ChangAn Town,DongGuan,China,General Merchandise,Main production Site,73%,27%,Yes,385
Shandong Qingsheng Furniture Co. Ltd.,24.39751102,118.8907712,CUILING VILLAGE,FUGUO STREET,BINZHOU CITY,China,General Merchandise,Main production Site,53%,47%,Yes,76
"Lin'an Weibu Bamboo Products Co., Ltd.",25.05211444,119.4855491,"Sankou Village, Banqiato TownLinan",[blank],Hangzhou,China,General Merchandise,Main production Site,50%,50%,Yes,74
Pt Suwastama Tumbuemas Sejahtera,[blank],[blank],"Slamet Riyadi Street 280 Gumpang,Central Java",[blank],Sukoharjo,Indonesia,General Merchandise,Main production Site,70%,30%,Yes,106
Ltd,25.1994109,118.3913267,"No 395 Qihang North Road,Binhai Investment Center, Ningbo",[blank],[blank],China,General Merchandise,Main production Site,48%,52%,Yes,98
"Chuzhou Donlim Electrical Appliances Co., Ltd NO1777 yanzi east road chuzhou city",24.36830451,118.2050211,[blank],[blank],chuzhou,China,General Merchandise,Main production Site,34%,66%,Yes,960
"CO.,LTD",24.71152027,118.2773144,ZHEJIANG PROVINCE,Hengxiang Road Wufu Industryshangyu,[blank],China,General Merchandise,Main production Site,46%,54%,Yes,169
