sitename,latitude,longitude,address1,address2,city,country,product_type,production_processes,male_worker_percent,female_worker_percent,workers_committee_or_union,total_workers
"Sumec manufacturing venture co., ltd.",25.44189193,118.1659941,"No.1, Gaoke 8 Road,","Nanjing Hitech Zone,",Nanjing,China,General Merchandise,Main production Site,35%,65%,Yes,92
"NINGBO ENERGY POWER TOOLS CO.,LTD",24.71705714,118.2864996,"No 50, Dongbei Road",Dongqiao Industrial Zone,Ningbo,China,General Merchandise,Main production Site,49%,51%,Yes,72
"Homex Soft Furnishings ( Hangzhou ) Limited NO.6 Houyang Road,AnxiLiangzhu,Yuhang,Hangzhou Hangzhou",25.49770076,118.1677548,[blank],[blank],[blank],China,General Merchandise,Main production Site,28%,72%,Yes,50
Huizhou Childlife Manufacturing Company,24.91752471,118.7538444,Pan li Cun,Lik Lin Zhen,Huizhou,China,General Merchandise,Main production Site,25%,75%,Yes,16
CHAOZHOU KUNYUE CERAMIC TRADING,24.70027131,118.9266389,"WU NAN ROAD,HUWEI VILLAGEFENGTANG,CHAOAN,CHAOZHOUCHAOZHOU",[blank],[blank],China,General Merchandise,Main production Site,60%,40%,Yes,35
JIEYANG JIAYI HARDWARE PRODUCTS,25.58185386,118.4826553,"stone village,Meiyun town,Rongcheng District,Jieyang Jieyang",[blank],[blank],China,General Merchandise,Main production Site,62%,38%,Yes,85
"X.J.Electrics (Shenzhen) Co.,Ltd",24.74806962,117.8724328,"Shantang Industrial Zone,Silian Paibang Village, Shenzhen",[blank],[blank],China,General Merchandise,Main production Site,52%,48%,Yes,950
"HUNAN QUANXIANG CERAMICS CORP,LTD.",24.45870243,118.2062633,FENGHUANG ROAD,CERAMIC INDUSTRY AREA,LILING,China,General Merchandise,Main production Site,38%,62%,Yes,985
Shantou Xinyu Alloy Toys Factory,24.05385092,118.1400202,"Waigang, Nanwan Village,Lianxia Town,",[blank],Shantou,China,General Merchandise,Main production Site,48%,52%,Yes,52
"AEL LIGHTING CO.,LTD",25.04403636,118.9895933,"No.268-5,ZhongXinJin Road,ShuiKou District,DaLang Town,DongGuan China",[blank],[blank],China,General Merchandise,Main production Site,52%,48%,Yes,97
"Dongguan Chinalight Electrical Co.,Ltd",24.15609703,118.741353,"No. 3 Third Industrial Area,Dongkeng Village",[blank],Dongguan,China,General Merchandise,Main production Site,47%,53%,Yes,43
Glory View Industries,24.4328061,118.7026367,"Buiding 2 ,3-6 Floor,No17,Hengxi Shunxing Village north Yongxig road",[blank],[blank],China,General Merchandise,Main production Site,54%,46%,Yes,37
KAIPING SIXIN GARMENT COMPANY LTD,24.08132861,118.7324626,"5TH BUILDING,1ST WEST XIHUDISTRICT SECOND ROAD, KAI PING",[blank],[blank],China,General Merchandise,Main production Site,5%,95%,Yes,21
"Huizhou Everspring Lighting Co., Ltd",25.06119155,118.7016597,"Soyee industrial park, Jinglong Village,Zhenlong townHuizhou",[blank],[blank],China,General Merchandise,Main production Site,44%,56%,Yes,63
"Co.,Ltd",24.62985027,119.3438233,"Jiangbokeng(old name), XiaozeDaze Town,Xinhui District Jiangmen China",[blank],[blank],China,General Merchandise,Main production Site,38%,63%,Yes,96
"Fong Bo (Huizhou) Toys Manufactory Co., Ltd Shui Jin Cun Min",25.20300418,118.3509769,"Group, Nan Keng Village, Xin Xu Town,Hui Zhou China GM",[blank],[blank],China,General Merchandise,Main production Site,40%,60%,Yes,362
Ltd.,24.62619669,118.7591502,Yagang Industrial Zone Sanxiang Town,[blank],Zhongshan City China,China,General Merchandise,Main production Site,47%,53%,Yes,650
"Ningbo Singfun Electric Appliance Co.,Ltd Fuhai Develop Area,Cixi,ZhejiaFuhai Develop Area,Cixi,Zhejia Cixi China GM",24.98689188,117.8939261,[blank],[blank],[blank],China,General Merchandise,Main production Site,60%,40%,Yes,998
Nesa Tekstil,[blank],[blank],Nesa Tekstil Sanayi ve tic OrganizeAS,sanayi Bolgesi Denizli,[blank],Turkey,General Merchandise,Main production Site,42%,58%,No,383
LTD,25.08252735,118.8134977,YING DONG INDUSTRIAL ZONEDONG HUA TOWN,[blank],YING DE CITY,China,General Merchandise,Main production Site,36%,64%,Yes,1067
"zhejiang cooker king cooker co.,ltd",25.23720322,118.1313265,"NO. 599, JIUDING ROAD ECONOMIC DEVELOPMENT AREAYONGKANG",[blank],[blank],China,General Merchandise,Main production Site,56%,44%,Yes,448
"RUEE APPLIANCES CO.,LTD",24.30338883,117.8820309,No.100 Jintong Road TangxiaTown Pengjiang Section Jiangmen,[blank],[blank],China,General Merchandise,Main production Site,53%,47%,Yes,482
"Classic Toys (Ningbo) Co., Ltd.",24.61563017,118.0905425,8 Xinrui Road,Longxiang VillageWuxiang TownNingbo,[blank],China,General Merchandise,Main production Site,61%,39%,Yes,83
"Ramesh Flowers Private Limited - Candles 3/225, K SubramaniapuramJegaveerapandiapuram VillageTuticorin India",25.07645117,117.6533711,"No. 50  DongguanChina City, ChinaGM Main production Site 26% 74% 223 Yes","Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
Guangdong Hengao Industrial Co Ltd,25.36451684,119.1382582,"No.B3-1-4,",Yinling Science and TechnologyJiangcheng China,[blank],China,General Merchandise,Main production Site,34%,66%,Yes,88
"Quanzhou Epoch Travelling Goods Co.,Ltd",24.68331846,118.8689225,"No.28, Chongheng StreetEconomic and Technical DevelopmentQuanzhou Zone China GM Main production Site",[blank],[blank],China,General Merchandise,Main production Site,41%,59%,Yes,61
Ltd,24.53703689,118.8680466,"Tashan industrial zone, MeilinNinghai, Ningbo, Zhejiang, Chi Ningbo China GM",[blank],[blank],China,General Merchandise,Main production Site,49%,51%,Yes,1089
Sansetsu UK Ltd,[blank],[blank],Akira House,"16/17 Brunleys Kiln Farm, Milton Keynes. United KingdomGM",[blank],United Kingdom,General Merchandise,Main production Site,78%,22%,No,55
"Chaozhou Jingmei Craft Products Co., Ltd No.2 Yinhuai Rd",25.31411622,119.2282798,Chaozhou Ave,[blank],Chaozhou,China,General Merchandise,Main production Site,60%,40%,Yes,68
DEVELOPMENT CORP.,24.3263823,118.0184735,Hengyi Road,North Industry Park,Lu'an,China,General Merchandise,Main production Site,33%,67%,Yes,1767
"Co., Ltd",25.3552585,119.0450665,"Block 6-7(C) Liujingsi Rd, ChongyiStreet,QuanzhouEconomicQuanzhou China",[blank],[blank],China,General Merchandise,Main production Site,48%,52%,Yes,29
